City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
292,kigonsera,-10.8,35.05,88.16,21,61,10.16,TZ,1639574204,broken clouds
293,trinidad,-14.8333,-64.9,76.98,94,90,6.91,BO,1639574204,moderate rain
294,carutapera,-1.195,-46.02,85.35,67,100,10.45,BR,1639574205,overcast clouds
295,idil,37.3411,41.8895,58.23,24,5,12.19,TR,1639574205,clear sky
296,ginda,30.6945,78.4932,39.13,35,0,8.01,IN,1639574205,clear sky
297,akyab,20.15,92.9,74.93,70,13,12.21,MM,1639574205,few clouds
298,dikson,73.5069,80.5464,-22.23,100,69,4.7,RU,1639574206,broken clouds
299,ayan,56.45,138.1667,-10.88,70,98,18.81,RU,1639574206,overcast clouds
300,payson,40.0444,-111.7321,31.41,89,40,16.11,US,1639574206,snow
301,fortuna,40.5982,-124.1573,44.94,84,90,11.99,US,1639574207,overcast clouds
302,tezu,27.9167,96.1667,61.34,48,90,4.65,IN,1639574207,overcast clouds
303,los llanos de aridane,28.6585,-17.9182,65.95,65,20,8.99,ES,1639574207,few clouds
304,madang,-5.2246,145.7966,78.03,91,100,2.15,PG,1639574208,overcast clouds
305,tongchuan,35.0806,109.0897,38.73,51,84,4.45,CN,1639574208,broken clouds
306,pierre,44.3683,-100.351,23.92,86,1,4.61,US,1639574208,clear sky
307,bambous virieux,-20.3428,57.7575,80.22,88,40,13.8,MU,1639574209,light rain
308,pitimbu,-7.4706,-34.8086,86.59,65,79,11.21,BR,1639574209,broken clouds
309,sohbatpur,28.5202,68.5434,62.87,19,0,6.62,PK,1639574209,clear sky
310,portland,45.5234,-122.6762,42.42,82,90,1.01,US,1639573912,overcast clouds
311,tahe,52.3333,124.7333,-13.9,79,1,6.22,CN,1639574209,clear sky
312,richards bay,-28.783,32.0377,91.13,50,17,13.82,ZA,1639574210,few clouds
313,taltal,-25.4,-70.4833,67.73,68,0,6.35,CL,1639574210,clear sky
314,flinders,-34.5833,150.8552,70.21,91,100,4.27,AU,1639574210,overcast clouds
315,saint-joseph,-21.3667,55.6167,80.98,74,30,13.47,RE,1639574211,light rain
